;"NR = not explicitly reported/not explicated;  NA= not applicable";;;;;;;;;;;;;;;;;;;;;;;;;;
;"Training ? model learns; Testing ? model tunes; Validation ? final independent assessment of the map/product";;;;;;;;;;;;;;;;;;;;;;;;;;
Identification & Provenance;;;;;;;;;Spatial Characteristics;;Temporal Characteristics;;;Data sources & Methods;;;;;Validation & Accuracy;;;;;;;Caveats;
Item-ID;Dataset Name and Abbreviation;Data Producer / Responsible Organization;Primary Publication / Citation;Link to Publication/Technical Report;Repository Link (GEE);Repository Link (Other);Mapped Classes / Class Definitions;"Forest/Tree Cover Definition (Thresholds: Height; Minimum area; Canopy cover)";Extent (Global / Regional / National);Spatial Resolution (m);Start Year;End Year;Temporal Resolution;Sensor / Primary Data Source;Input Metric/Indices/Features;"Classification
Method(s) (Specific)";Classification (Category) - Supervised ML, Deep Learning, Rule-based/Threshold-based, Expert-driven, Unsupervised, Hybrid, Visual interpretation;Number of Training Samples;Validation Approach;Reference Dataset for Validation (Data Name and Period) ;Number of Testing and/or Validation Samples;"Overall Thematic 
Accuracy (OA) ";Producer's and User's Accuracy (target class);Other Accuracy Metric(s);Additional Accuracy Information;Reported limitations;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;JRC GFC 2020 v2 (publication as preprint) and v3 (publication coming out in March 2026) - Global Forest Cover map for year 2020 ;JRC (Joint Research Centre);"Bourgoin et al., 2024 (v2 dataset); Bourgoin et al., 2025 (v3 dataset)";;"V2 -> https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_V2
V3- > https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_V3?hl=de";"V2 -> https://data.jrc.ec.europa.eu/dataset/e554d6fb-6340-45d5-9309-332337e5bc26
V3- > https://data.jrc.ec.europa.eu/dataset/8c561543-31df-4e1b-9994-e529afecaf54#dataaccess";Forest, Non-forest.;The definition of forest in the map aligns with the forest definition by the Food and Agriculture Organization (? 5m, ? 0.5ha,  ? 10%). Some areas of non-forest tree-based systems are included in the forest class.;Global;10;2020;2020;annual;Publicly available global datasets on land cover, land use, and tree characteristics, mostly from remote sensing (~10–30?m) combined with stratification layers on ecological zones from FAO and global forest loss drivers from the University of Maryland (UMD) to produce a refined dataset near 2020. In total 18 datasets were used.;NA;Composite Map/Map-based synthesis/Ensemble;Rule-based, Expert-driven;NA;Preliminary accuracy was assessed using a randomly stratified sampling.;The data was collected via crowdsourcing by IIASA (GeoWiki interface).;20,379;"Version 2 -> 91.5% (preliminary) ; Version 3- unknown";"[Target class = Forest Class/Tree cover] Version 2: Producer's Accuracy (Omission error) - 8.2%; User's Accuracy (Commission error) - 18% . Version 3 -unknown";Risk probability;"Version 2 -> Probability of overestimating of forest area (18%); Probability of underestimation of forest area (8.2%). 
Global estimates do not reflect regional or local accuracy, which declines in dry, open forests and areas with fragmented forest–non-forest mosaics";"•	Commission errors: Non-forest areas, especially scrub and other wooded land, are sometimes misclassified as forest.
•	Regional accuracy limitations: Reduced accuracy in open and dry forest regions (e.g., eastern Brazil, central Australia).
•	Underestimation risk: Sparse or dry forests may be omitted due to tree-height thresholds.
•	Environmental and technical effects: Cloud cover, terrain shadowing, and occasional geolocation misalignment affect accuracy, particularly in tropical regions.
•	Unstocked forest areas: Approximately 0.6% (~25 Mha) of areas classified as forest are temporarily unstocked due to management activities or natural disturbances (e.g., fire).
•	Spatial artefacts: Blocky patterns are present due to the resolution of input layers.";
2;GFT 2020 (v0) -  Global Forest Types for year 2020;JRC ;Bourgoin et al., 2024;;https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_subtypes_V0#description ;https://forobs.jrc.ec.europa.eu/GFT;"Naturally Regenerating Forest; Primary forest; Planted/Plantation Forest";The definition of forest in the map aligns with the forest definition by the Food and Agriculture Organization (? 5m, ? 0.5ha,  ? 10%). Some areas of non-forest tree-based systems are included in the 3 forest classes.;Global;10;2020;2020;annual;Available global datasets that works as proxies or the four main forest types (primary forest, naturally regenerating forest, planted forest, plantation forest). The base forest layer is the JRC GFC 2020 v3. ;NA;Composite Map/Map-based synthesis/Ensemble;Rule-based, Expert-driven;NA;NR;NR;NR;NR;NR;NR;NR;"•  Planted and plantation forests
-	Widespread underestimation of planted and plantation forests, reported in parts of Brazil, Indonesia, and several other regions.
-	Local overestimation of plantations where primary forest is underestimated.
•  Primary and naturally regenerating forests
-	Underestimation of primary forest in multiple tropical regions.
-	Misclassification between primary and naturally regenerating forests, producing inconsistent or mixed patterns.
•  Spatial artifacts
-	Presence of blocky patterns affecting plantation and forest classes across several regions.
-	Geometric and processing artifacts linked to input layers, reducing local map consistency.
•  Regional variability
-	Data quality and class reliability vary by region, with some areas more affected by systematic biases and artifacts than others.";
3;ESA WC 2020 (v100 and v200) - ESA World cover 2020 and 2021;European Space Agency (ESA);"Zanaga et al. 2021 (v100); Zanaga et al. 2022 (v200)";;https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCover_v200;https://worldcover2021.esa.int/download;Tree cover, Shrubland, Grassland, Cropland, Built-up, Bare / sparse vegetation, Snow and Ice, Permanent water bodies, Herbaceous Wetland, Mangrove and Moss and lichen.; (? 5m, ? NR,  ? 10%). Plantation and areas with planted trees for afforestation are included in the forest class.;Global;10;2020;2021;annual;Sentinel-2 (S2) - surface reflectance and Sentinel-1 (S1)-  VV and VH backscatter;The dataset includes descriptive statistics derived from surface reflectance bands and vegetation index time series, such as the 10th, 50th, and 90th percentiles and the interquartile range. Additional inputs include topographic variables (altitude and slope), spatial location features, and meteorological data. In total, 115 features are used: 64 from Sentinel-2, 12 from Sentinel-1, 2 from digital elevation models, 23 positional features, and 14 meteorological features.;Gradient boosting decision tree algorithm (CatBoost) (Prokhorenkova et al., 2018);Supervised Classical Machine Learning (ML);For each training location, features were extracted, from which training points were randomly sampled at 10% per class, with a maximum of 30 points per class per location. V100 used 259,734 training locations with 131 features, and V200 used 319,415 training locations with 115 features.;The WorldCover products were validated using the CGLS-LC dataset following CEOS WGCV LPV guidelines. Validation employed stratified random sampling, with 100×100?m primary sampling units divided into 10×10 secondary units. Sites with high likelihood of land cover change were revisited using very high-resolution imagery (Google, Bing, ESRI) and Sentinel-2 to ensure accurate visual interpretation.;"CGLS-LC validation dataset (Copernicus Global Land Service – Land Cover product)
Reference years: 2019, 2020, 2021";"Validation: Primary sample units (PSU): 21,624; Secondary sample units (SSU): 2,162,366; Updates for recent years included revisiting 2,860 points for 2020 and 4,410 points for 2021, with ~2,200 random sites and ~2,210 targeted high-change sites";76.7 ± 0.5%;"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 88.6%; User's Accuracy  (Commision error) - 90.7%";NR;"All continents show overall accuracy above 72%. Higher accuracies observed for tree cover, snow/ice, cropland, water bodies, and bare/sparse vegetation; moderate for grassland and built-up; lower for shrubs, wetlands, and moss/lichen. Lower continental accuracies (e.g., Oceania, parts of Eurasia) attributed to class confusions such as shrubland vs. grassland and trees vs. grassland.";"•	Cloud artifacts: appear in regions with persistent or high cloud cover.
•	Hard borders: visible in areas with high class confusion, often along Sentinel-2 orbit or block boundaries due to differing observation densities.
•	Water misclassification: occurs on glaciers, ice sheets, and mountain shadows.
•	Spectral confusion: irrigated agriculture and herbaceous wetlands can be misclassified because of high spectral similarity.";
4;ESRI-10m  - ESRI Global Land Use Land Cover from Sentinel-2;Impact Observatory (IO), in cooperation with ESRI and Microsoft AI for Earth;Karra et al. 2021;;https://gee-community-catalog.org/projects/S2TSLULC/;https://www.arcgis.com/home/item.html?id=d6642f8a4f6d4685a24ae2dc0c73d4ac;Water, trees, flooded vegetation, crops, built area, bare ground, snow/ice, clouds, rangeland.; (? 4.57m, ? NR,  ? NR).  Other wooded land/savannas, plantations, swamps or mangroves may be included in the forest class.;Global;10;2017;2023;annual;Sentinel-2 L2A surface reflectance data at 10m resolution;NR;Deep learning model (convolutional neural network for image segmentation);Deep Learning;"20,000+ sites across all major biomes; >5 billion human-labeled pixels; 24,000 hand-labeled 5×5 km image chips into 10 classes";"15% of training data set aside at the end of each epoch; supplemented with expert-labeled gold standard tiles";"Gold standard human-labeled tiles (24,000 5×5?km areas; period not specified)";24,000 tiles (15% of training data);"75% average OA; 85% (across ten classes on holdout validation)";Only reported for certain regions (California, Costa Rica, Belgium and Laos).;NR;NR;"•  Incomplete imagery for 2017: fewer input images may reduce the accuracy of class assignments compared to 2018–2023.
•  Class confusion: crops can be misclassified as grasses, and there is confusion with flooded vegetation.";
5;Dynamic World -  Near Real Time LULC (from 2015-06-27 to present);World Resources Institute Google (WIR);Brown et al. 2022;;https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1;https://github.com/google/dynamicworld;Water, trees, grass, flooded vegetation, crops, shrub & scrub, built area, bare ground, snow/ice.; (? NR, ? NR,  ? NR). Areas of plantations, wooded vegetation, dense green shrubs, tall vegetation within savannas, swamps, and burned or mixed areas may be included in forest class.;Global;10;2015;2024;Near-real-time (2-5 days);Sentinel-2 L1C images;NR;Semi-supervised deep learning (supervised label data to train Fully Convolutional Neural Network.;Deep Learning;NR;"Balanced random sampling of ten image-markup pairs per biome per hemisphere; each Sentinel-2 tile annotated independently by three experts and one non-expert to enable cross-expert QA";"Sentinel-2 tiles with expert and non-expert annotations; reference years ~2017 (stratification based on NASA MCD12Q1, NLCD 2016, MapBiomas 2017)";"Tile-level validation samples: 409 Sentinel-2 tiles
Pixel-level validation samples (reference units): 68,137,571 pixels with expert consensus";73.8% (label agreement);"[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 93.20%; User's Accuracy  (Commision error) - 70.20%";"Inter-annotator agreement; expert–expert consistency; agreement between machine labeling and expert consensus under multiple voting schemes";Compared to other LULC products, Dynamic World showed +7.5% higher agreement than ESA CGLS ProbaV 2019 at higher spatial resolution (10 m vs 100 m), and 1.2% lower agreement compared to LCMAP 2017. Metrics focus on label agreement rather than traditional confusion-matrix-based accuracy.;"•  Biome performance variability: performs best in temperate and tree-dominated biomes, with greater confusion in arid shrublands and rangelands, especially between crops and shrubs.
•  Grassland and crop classification errors: underestimates grasslands (30.1% vs 50% by non-experts) and slightly underestimates crops (88.9% vs 93.7% by non-experts).
•  Cloud and shadow misclassification: missed clouds may be labeled as snow & ice, and missed shadows as water, despite conservative masking efforts.";
