Item-ID	Dataset Name and Abbreviation	Data Producer / Responsible Organization	Primary Publication / Citation	Link to Publication/Technical Report	Repository Link (GEE)	Repository Link (Other)	Mapped Classes / Class Definitions	Forest/Tree Cover Definition (Thresholds: Height; Minimum area; Canopy cover)	EUDR forest definition conform?	Extent (Global / Regional / National)	Spatial Resolution (m)	Start Year	End Year	Temporal Resolution	Sensor/Primary Data Source	Input Metric/Indices/Features	Classification Method(s) (Specific)/Classifier	Classification (Category) - Supervised ML, Deep Learning, Rule-based/Threshold-based, Expert-driven, Unsupervised, Hybrid, Visual interpretation	Number of Training Samples	Validation Approach	Reference Dataset for Validation (Data Name and Period)	Number of Testing and/or Validation Samples	Overall Thematic  Accuracy (OA)	Producer's and User's Accuracy (target class)	Other Accuracy Metric(s)	Additional Accuracy Information	Reported limitations
FNF01	JRC GFC 2020 v2 and v3 - Global Forest Cover map for year 2020	JRC (Joint Research Centre)	Bourgoin et al., 2024 (v2 dataset); Bourgoin et al., 2025 (v3 dataset)	v3 --> https://op.europa.eu/fr/publication-detail/-/publication/70cd35b9-4da7-11f1-8095-01aa75ed71a1/language-en	V2 -> https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_V2 V3- > https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_V3?hl=de	V2 -> https://data.jrc.ec.europa.eu/dataset/e554d6fb-6340-45d5-9309-332337e5bc26 V3- > https://data.jrc.ec.europa.eu/dataset/8c561543-31df-4e1b-9994-e529afecaf54#dataaccess	Forest, Non-forest	The definition of forest in the map aligns with the forest definition by the Food and Agriculture Organization (⩾ 5m, ⩾ 0.5ha,  ⩾ 10%). Some areas of non-forest tree-based systems are included in the forest class.	Yes	Global	10	2020	2020	annual	Publicly available global datasets on land cover, land use, and tree characteristics, mostly from remote sensing (~10–30 m) combined with stratification layers on ecological zones from FAO and global forest loss drivers from the University of Maryland (UMD) to produce a refined dataset near 2020. In total 18 datasets were used		Composite Map/Map-based synthesis/Ensemble	Rule-based, Expert-driven		Final accuracy was assessed using a randomly stratified sampling.	The data was collected via crowdsourcing by IIASA (GeoWiki interface)	Version 2-> 20,379; Version 3-> 21,612	Version 2 -> 91.5% (preliminary) ; Version 3-> 92.8%	[Target class = Forest Class/Tree cover] Version 2: Producer's Accuracy (Omission error) - 8.2%; User's Accuracy (Commission error) - 18% . Version 3: Producer's Accuracy (Omission error) - 10.6%; User's Accuracy (Commission error) - 13.1%	Risk probability, Accuracy per region (Africa, North and Central America, South America, Asia, Europe, Oceania, Russia federation	Version 2 -> Probability of overestimating of forest area (18%); Probability of underestimation of forest area (8.2%).  Global estimates do not reflect regional or local accuracy, which declines in dry, open forests and areas with fragmented forest–non-forest mosaics;                                                       Version 3 -> Overall, V3 improves classification accuracy compared to V2 across most land-use categories, with particularly strong gains for tree-related classes. Accuracy increases are most notable for agricultural trees, trees outside forests, and urban trees, while previously problematic categories such as trees inside forests and other wooded land also show clear improvements, although they remain more uncertain due to difficulties in visual interpretation and boundary detection.	"•	Commission errors: Non-forest areas, especially scrub and other wooded land, are sometimes misclassified as forest. •	Regional accuracy limitations: Reduced accuracy in open and dry forest regions (e.g., eastern Brazil, central Australia). •	Underestimation risk: Sparse or dry forests may be omitted due to tree-height thresholds. •	Environmental and technical effects: Cloud cover, terrain shadowing, and occasional geolocation misalignment affect accuracy, particularly in tropical regions. •	Unstocked forest areas: Approximately 0.6% (~25 Mha) of areas classified as forest are temporarily unstocked due to management activities or natural disturbances (e.g., fire). •	Spatial artefacts: Blocky patterns are present due to the resolution of input layers."
FNF02	GFT 2020 (v1) -  Global Forest Types for year 2020	JRC	Bourgoin et al., 2026	v1 --> https://op.europa.eu/fr/publication-detail/-/publication/70cd35b9-4da7-11f1-8095-01aa75ed71a1/language-en	https://developers.google.com/earth-engine/datasets/catalog/JRC_GFC2020_subtypes_V1	https://forobs.jrc.ec.europa.eu/GFT	Naturally Regenerating Forest; Primary forest; Planted/Plantation Forest	The definition of forest in the map aligns with the forest definition by the Food and Agriculture Organization (⩾ 5m, ⩾ 0.5ha,  ⩾ 10%). Some areas of non-forest tree-based systems are included in the 3 forest classes.	Yes	Global	10	2020	2020	annual	Available global datasets that works as proxies or the four main forest types (primary forest, naturally regenerating forest, planted forest, plantation forest). The base forest layer is the JRC GFC 2020 v3		Composite Map/Map-based synthesis/Ensemble	Rule-based, Expert-driven		NR - This is a derived product built on GFC2020, dedicated technical report including full accuracy assessment is not yet available (09.06.2026)	NR	NR	NR	NR	NR	NR	"•  Planted and plantation forests -	Widespread underestimation of planted and plantation forests, reported in parts of Brazil, Indonesia, and several other regions. -	Local overestimation of plantations where primary forest is underestimated. •  Primary and naturally regenerating forests -	Underestimation of primary forest in multiple tropical regions. -	Misclassification between primary and naturally regenerating forests, producing inconsistent or mixed patterns. •  Spatial artifacts -	Presence of blocky patterns affecting plantation and forest classes across several regions. -	Geometric and processing artifacts linked to input layers, reducing local map consistency. •  Regional variability -	Data quality and class reliability vary by region, with some areas more affected by systematic biases and artifacts than others."
FNF03	ESA WC - World Cover for year 2020 (v100) and year 2021 (v200)	European Space Agency (ESA)	Zanaga et al. 2021 (v100); Zanaga et al. 2022 (v200)	https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/docs/WorldCover_PUM_V2.0.pdf	Year 2020 (v100) --> https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCover_v100?hl=de         Year 2021 (v200) --> https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCover_v200	https://esa-worldcover.org/en	Tree cover, Shrubland, Grassland, Cropland, Built-up, Bare / sparse vegetation, Snow and Ice, Permanent water bodies, Herbaceous Wetland, Mangrove and Moss and lichen	(⩾ 5m, ⩾ NR,  ⩾ 10%). Plantation and areas with planted trees for afforestation are included in the forest class.	No/Unclear	Global	10	2020	2021	annual	Sentinel-2 (S2) - surface reflectance and Sentinel-1 (S1)-  VV and VH backscatter	The dataset includes descriptive statistics derived from surface reflectance bands and vegetation index time series, such as the 10th, 50th, and 90th percentiles and the interquartile range. Additional inputs include topographic variables (altitude and slope), spatial location features, and meteorological data. In total, 115 features are used: 64 from Sentinel-2, 12 from Sentinel-1, 2 from digital elevation models, 23 positional features, and 14 meteorological features.	Gradient boosting decision tree algorithm (CatBoost) (Prokhorenkova et al., 2018)	Supervised Classical Machine Learning (ML)	For each training location, features were extracted, from which training points were randomly sampled at 10% per class, with a maximum of 30 points per class per location. V100 used 259,734 training locations with 131 features, and V200 used 319,415 training locations with 115 features	The WorldCover products were validated using the CGLS-LC dataset following CEOS WGCV LPV guidelines. Validation employed stratified random sampling, with 100×100 m primary sampling units divided into 10×10 secondary units. Sites with high likelihood of land cover change were revisited using very high-resolution imagery (Google, Bing, ESRI) and Sentinel-2 to ensure accurate visual interpretation.	CGLS-LC validation dataset (Copernicus Global Land Service – Land Cover product) Reference years: 2019, 2020, 2021	Validation: Primary sample units (PSU): 21,624; Secondary sample units (SSU): 2,162,366; Updates for recent years included revisiting 2,860 points for 2020 and 4,410 points for 2021, with ~2,200 random sites and ~2,210 targeted high-change sites	76.7 ± 0.5%	[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 88.6%; User's Accuracy  (Commision error) - 90.7%	NR	All continents show overall accuracy above 72%. Higher accuracies observed for tree cover, snow/ice, cropland, water bodies, and bare/sparse vegetation; moderate for grassland and built-up; lower for shrubs, wetlands, and moss/lichen. Lower continental accuracies (e.g., Oceania, parts of Eurasia) attributed to class confusions such as shrubland vs. grassland and trees vs. grassland.	"•	Cloud artifacts: appear in regions with persistent or high cloud cover. •	Hard borders: visible in areas with high class confusion, often along Sentinel-2 orbit or block boundaries due to differing observation densities. •	Water misclassification: occurs on glaciers, ice sheets, and mountain shadows. •	Spectral confusion: irrigated agriculture and herbaceous wetlands can be misclassified because of high spectral similarity."
FNF04	ESRI-10m  - ESRI Global Land Use Land Cover from Sentinel-2	Impact Observatory (IO), in cooperation with ESRI and Microsoft AI for Earth	Karra et al. 2021	https://ieeexplore.ieee.org/document/9553499	https://gee-community-catalog.org/projects/S2TSLULC/	https://www.arcgis.com/home/item.html?id=d6642f8a4f6d4685a24ae2dc0c73d4ac	Water, trees, flooded vegetation, crops, built area, bare ground, snow/ice, clouds, rangeland	(⩾ 4.57m, ⩾ NR,  ⩾ NR).  Other wooded land/savannas, plantations, swamps or mangroves may be included in the forest class.	No/Unclear	Global	10	2017	2023	annual	Sentinel-2 L2A surface reflectance data at 10m resolution	NR	Deep learning model (convolutional neural network for image segmentation)	Deep Learning	20,000+ sites across all major biomes; >5 billion human-labeled pixels; 24,000 hand-labeled 5×5 km image chips into 10 classes	15% of training data set aside at the end of each epoch; supplemented with expert-labeled gold standard tiles.	Gold standard human-labeled tiles (24,000 5×5 km areas; period not specified)	24,000 tiles (15% of training data)	75% average OA; 85% (across ten classes on holdout validation)	Only reported for certain regions (California, Costa Rica, Belgium and Laos)	NR	NR	•  Incomplete imagery for 2017: fewer input images may reduce the accuracy of class assignments compared to 2018–2023. •  Class confusion: crops can be misclassified as grasses, and there is confusion with flooded vegetation.
FNF05	Dynamic World -  Near Real Time LULC (from 2015-06-27 to present)	World Resources Institute Google (WIR)	Brown et al. 2022	https://www.nature.com/articles/s41597-022-01307-4	https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1	https://github.com/google/dynamicworld	Water, trees, grass, flooded vegetation, crops, shrub & scrub, built area, bare ground, snow/ice	(⩾ NR, ⩾ NR,  ⩾ NR). Areas of plantations, wooded vegetation, dense green shrubs, tall vegetation within savannas, swamps, and burned or mixed areas may be included in forest class.	No/Unclear	Global	10	2015	2024	Near-real-time (2-5 days)	Sentinel-2 L1C images	NR	Semi-supervised deep learning (supervised label data to train Fully Convolutional Neural Network	Deep Learning	NR	Balanced random sampling of ten image-markup pairs per biome per hemisphere; each Sentinel-2 tile annotated independently by three experts and one non-expert to enable cross-expert QA.	Sentinel-2 tiles with expert and non-expert annotations; reference years ~2017 (stratification based on NASA MCD12Q1, NLCD 2016, MapBiomas 2017)	Tile-level validation samples: 409 Sentinel-2 tiles Pixel-level validation samples (reference units): 68,137,571 pixels with expert consensus	73.8% (label agreement)	[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 93.20%; User's Accuracy  (Commision error) - 70.20%	Inter-annotator agreement; expert–expert consistency; agreement between machine labeling and expert consensus under multiple voting schemes	Compared to other LULC products, Dynamic World showed +7.5% higher agreement than ESA CGLS ProbaV 2019 at higher spatial resolution (10 m vs 100 m), and 1.2% lower agreement compared to LCMAP 2017. Metrics focus on label agreement rather than traditional confusion-matrix-based accuracy.	•  Biome performance variability: performs best in temperate and tree-dominated biomes, with greater confusion in arid shrublands and rangelands, especially between crops and shrubs. •  Grassland and crop classification errors: underestimates grasslands (30.1% vs 50% by non-experts) and slightly underestimates crops (88.9% vs 93.7% by non-experts). •  Cloud and shadow misclassification: missed clouds may be labeled as snow & ice, and missed shadows as water, despite conservative masking efforts.
FNF06	GLC-FCS30D -  Global 30-meter Land Cover Change Dataset (version 1 and 2)	International Research Center of Big Data for Sustainable Development Goals (CBAS)	Zhang and Zhao 2023 (v1); Zhang and Zhao 2025 (v2)	https://essd.copernicus.org/articles/16/1353/2024/	(Official) -> https://gee-community-catalog.org/projects/glc_fcs/                                     (Third person exploration) --> https://gee-community-catalog.org/tutorials/examples/glc_fcs30d_lulc/#3-calculating-and-exporting-landcover-statistics	(version 1)- > https://zenodo.org/records/8239305 (version 2) --> https://zenodo.org/records/15063683 (not yet available on GEE catalog)	Level-1 classes are: Rainfed cropland, Irrigated cropland, Evergreen broadleaved forest, Deciduous broadleaved forest, Evergreen needleleaved forest, Deciduous needleleaved forest, Mixed-leaf forest, Shrubland, Grassland, Lichens and mosses, Inland wetland, Coastal wetland, Impervious surface, Sparse vegetation, Bare areas, Water body, Permanent snow and ice	(⩾ NR, ⩾ NR,  ⩾ 15%). May incluse savanna and woody savanna into forest class.	No/Unclear	Global	30	2000	2022	annual	All available Landsat imagery from 1984 to 2022 – covering the Landsat 5 Thematic Mapper (TM), Landsat 7 Enhanced Thematic Mapper Plus (ETM+), Landsat 8 Operational Land Imager (OLI), and Landsat 9 OLI missions	NR	Continuous change detection (CCD) time-series algorithm proposed by Zhu and Woodcock (2014b) with the local adaptive updating method	Rule-based / Threshold-based		Stratified random sampling based on landscape heterogeneity, population density, and Köppen climate groups; land-cover type determined via independent interpretation of high-resolution aerial imagery, multitemporal Landsat images, and ancillary data, followed by senior expert quality control.	GLC_FCS30D (2020); LCMAP_Val (30 m, period not specified); LUCAS (2006–2018, 3-year intervals)	GLC_FCS30D: 84,526; LCMAP_Val: 24,971; LUCAS: 1,090,863	Global validation (2020) achieved 80.88% O.A. for the 10-class system and 73.04% O.A. for the finer 17-class LCCS level-1 system.	[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 92.83%; User's Accuracy  (Commision error) - 86.35%	Standard errors via post-stratified estimator	Using third-party datasets, mean O.A. was 79.50% over CONUS (LCMAP_Val, 1985–2018) and 81.91% over the EU (LUCAS, 2006–2018). Cropland and forest consistently showed high P.A. and U.A. (cropland >85% P.A. and >93% U.A.). Accuracy assessment followed Pontus Olofsson (2014) guidelines, combining site-specific confusion-matrix-based accuracy with area estimation.	•  Dependence on observation density: reliability decreases in areas with sparse valid satellite observations. •  Cloud and snow interference: cloudy or snowy regions increase uncertainty in detecting the timing of land-cover changes. •  Sparse historical data: limited satellite data availability before the year 2000 reduces accuracy for early periods. •  Climate-sensitive changes: land-cover changes influenced by climate are more difficult to capture accurately.
FNF07	FROM-GLC10 - Finer Resolution Observation and Monitoring of Global Land Cover	Department of Earth System Science, Tsinghua University	Chen et al. 2019	https://www.sciencedirect.com/science/article/pii/S2095927319301380?via%3Dihub	https://gee-community-catalog.org/projects/glc10/	https://www.dess.tsinghua.edu.cn/info/1120/1418.htm	Cropland, forest, grass, shrub, water, impervious, bareland, snow/ice, cloud	(⩾ NR, ⩾ NR,  ⩾ NR).	No/Unclear	Global	10	2017	2017	annual	Sentinel-2	Indices of vegetation (normalized difference vegetation index, enhanced vegetation index), water (modified normalized differ ence water index), built-up (normalized difference built-up index), and burning (normalized burn ratio); 25%, 50%, 75%, percentile of the annual time-series image spectral values; mean and standard deviations of each of the previous features; elevation, slope, aspect, and hill shadow; and longitude and latitude of the sample location.	Random Forest Classifier	Supervised Classical Machine Learning (ML)	~340,000 sample units (30×30 m to 500×500 m) located at ~93,000 sites worldwide	Multi-seasonal sampling from Landsat 8 images; land-cover types at different seasons interpreted and split into training and validation sets.	Landsat 8 images (2014–2015)	~140,000 sample units at >38,000 locations	72.76% (global, validated against 2015 validation sample)	[Target class = Forest Class/Tree cover]Producer's Accuracy (Omission error) -84.20%; User's Accuracy  (Commision error) - 83.47%		Validation used the 2015 global 30-m resolution sample set. The 2017 FROM-GLC30 map was also compared to the same 2015 sample, achieving 72.43% O.A. FROM-GLC10 showed finer spatial detail, improving distinction between forest, shrub, and grassland classes.	NR
FNF08	Forest Height - GLAD ARD - Thematic map of Global Land Cover and Land Use Change	Global Land Analysis and Discovery (GLAD) laboratory in the Department of Geographical Sciences at the University of Maryland USA (UMD)	Potapov et al., 2022	https://www.frontiersin.org/journals/remote-sensing/articles/10.3389/frsen.2022.856903/full	https://glad.earthengine.app/view/glcluc-2000-2020#lon=0;lat=0;zoom=3;	(Info)--> https://glad.umd.edu/dataset/GLCLUC2020 (Download) --> https://glad.umd.edu/users/Potapov/GLCLUC2020/Forest_height_2020/	Forest height( in meters) and non-forest (or no data)	(⩾ 5m*, ⩾ 0.5ha,  ⩾ NR). Forest class includes areas of wildland, managed, and planted tree cover, including agroforestry and orchards, but excludes temporally unstocked forest areas. (*) Woody vegetation starts from 3m.	No/Unclear	Global	30	2000	2020	annual, but only 2 years, 2000 AND 2020	Global Ecosystem Dynamics Investigation (GEDI, https://gedi.umd.edu/) lidar forest structure measurements and 2000-2020 Landsat analysis-ready data time-series	The GEDI 95th percentile of waveform energy relative to ground elevation was used as the training variable representing vegetation vertical structure. Predictor variables consist of phenology metrics derived from annuall, gap-filled clear-sky time series ranked by reflectance, brightness temperature, and vegetation indices (NDVI and NDWI). From these rankings, statistical descriptors are extracted, including key ranks (minimum, maximum, quartiles), interrank means, and amplitude measures. These phenological indicators are complemented by topographic metrics.	Regression tree ensembles	Supervised Classical Machine Learning (ML)	Reported only sampling arrangement	Comparison of 2020 forest height map with GEDI RH95 metric values within stable forests (≥5 m tree height in 2000 and 2020, no disturbance).	GEDI Collection 2 RH95 (April 2019 – September 2020)	104.7 million GEDI footprints	NA (Not expressed as a thematic percentage; forest height model accuracy evaluated in meters)		RMSE, MAE, R²	Year 2019 forest height map validated against GEDI Collection 1: RMSE = 6.6 m, MAE = 4.45 m, R² = 0.62; airborne lidar: RMSE = 9.07 m, MAE = 6.36 m, R² = 0.61. Year 2020 map validated against GEDI Collection 2 RH95 (stable forests): RMSE = 6.75 m, MAE = 4.76 m, R² = 0.53. Validation limited to forest pixels ≥5 m (map) and ≥3 m (GEDI).	• Challenges with sparse or open canopy forests: GEDI-calibrated forest height maps reveal forests ≥5 m in height within open-canopy regions and savannas that WorldCover classifies as shrubland.
FNF09	Forest Extent - GLAD ARD - Thematic map of Global Land Cover and Land Use Change	Global Land Analysis and Discovery (GLAD) laboratory in the Department of Geographical Sciences at the University of Maryland USA (UMD GLAD)	Potapov et al., 2022	https://www.frontiersin.org/journals/remote-sensing/articles/10.3389/frsen.2022.856903/full	https://glad.earthengine.app/view/glcluc-2000-2020#lon=0;lat=0;zoom=3;	(Info)--> https://glad.umd.edu/dataset/GLCLUC2020 (Download) --> https://glad.umd.edu/users/Potapov/GLCLUC2020/Forest_extent_2020/	Forest, non-forest	(⩾ 5m, ⩾ 0.5ha,  ⩾ NR). Forest class includes areas of wildland, managed, and planted tree cover, including agroforestry and orchards, but excludes temporally unstocked forest areas.	No/Unclear	Global	30	2000	2020	annual, but only 2 years, 2000 AND 2020	Dataset based on Forest height	The dataset is based on Forest height – GLAD ARD, with forest extent defined by a minimum forest height threshold of 5 m.	Binary thresholding of canopy height	Rule-based/Threshold-based		Stratified sampling across five forest-change strata (stable non-forest, stable forest, forest loss, forest gain, disturbed/adjacent pixels); pixels interpreted independently by two experts using Landsat GLAD ARD 16-day time series, annual/bimonthly composites, and high-resolution imagery from Google Earth.	Landsat GLAD ARD and high-resolution imagery (period not explicitly stated)	1,000 sample pixels (200 per stratum)	97.2% (Forest extent 2020)	[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) - 94.8%; User's Accuracy  (Commision error) -94.6%		Validation based on sample-based assessment of forest extent maps for 2000 and 2020, including stable forest class. Standard error for both overall accuracies: ±0.7%. High accuracy observed across both temporal products.	•  Continuous variables mapping: Forest height and similar metrics are challenging to estimate with medium-resolution optical data; tree height models may saturate above 30 m. •  Reporting limitations: Map-based estimates alone are insufficient for national or international reporting due to unknown spatial and temporal error variability; probability-based sampling is recommended. •  Country-level forest area differences: The map underestimates forest area in Brazil, Canada, and Australia (~0.5 million km² each) and shows much lower forest cover in Somalia, Botswana, and Namibia compared to FAO FRA. Conversely, forest area is overestimated in Indonesia, DRC, and Central African Republic. •  Forest definition inconsistencies: Differences in national forest definitions and the exclusion of agroforestry and tree crops from FAO FRA estimates contribute to discrepancies. •  Overestimation by other products: ESA WorldCover 2020 overestimates forest area globally by 6–7%, driven by non-forest tundra regions misclassified as forest. •  Continuous vs discrete mapping: Continuous forest height data better capture vegetation structure and carbon storage than discrete land cover classifications.
FNF10	GEDI-Height-2019 - Global Forest Canopy Height from GEDI & Landsat	Global Land Analysis and Discovery (GLAD) laboratory in the Department of Geographical Sciences at the University of Maryland USA (UMD GLAD)	Potapov et al., 2020	https://www.sciencedirect.com/science/article/pii/S0034425720305381	https://gee-community-catalog.org/projects/gfch/	https://glad.umd.edu/dataset/gedi/	Forest and non-forest classes, where forests contains different tree heights (Pixel values: 0-60 Forest canopy height, meters, 101 Water, 102 Snow/ice ,103 No data)	(⩾ 0m*, ⩾ NR,  ⩾ NR). Mapping tree cover including plantation, agroforestry, managed and planted trees, etc. (*) Minimum Tree height can be set by the user.	No/Unclear	Global	30	2019	2019 (April-October)	annual	The Global Ecosystem Dynamics Investigation (GEDI) lidar instrument onboard the International Space Station and Landsat	Individual Landsat scenes were combined into 16-day composites, using observation quality information to favor clear-sky data. Each composite includes normalized surface reflectance for visible, NIR, and SWIR bands, brightness temperature, and quality indicators. From the resulting time series, summary statistics are derived by ranking observations by reflectance or index values, using multiple spectral indices and variability measures (e.g. NDVI, spectral variability, tasseled cap greenness).	Regression Tree model	Supervised Classical Machine Learning (ML)	372 million GEDI samples; randomly split 90% training / 10% validation; In average ~31,000 samples per 1×1° Landsat GLAD ARD tile (range: few to ~200,000 samples)	Comparison of Landsat-derived forest height products with reference data (GEDI RH95 and ALS canopy height) at pixel/grid scale; forest detection accuracy quantified by transforming both datasets into binary forest/non-forest classes for multiple thresholds (≥3 m, ≥5 m, ≥10 m); 10% of GEDI observations set aside for validation; per-tile random sampling applied.	GEDI RH95 gridded to Landsat pixels (2019); ALS canopy height (selected areas in USA, Mexico, DRC, Australia; period not explicitly stated)	13.4 million GEDI validation samples; additional ALS validation samples (number not specified)	Overall Accuracy (by threshold and reference dataset): Forest ≥3 m: 83.0% (GEDI), 87.6% (ALS) Forest ≥5 m: 87.8% (GEDI), 88.1% (ALS)	[Target class = Forest Class/Tree cover] Producer's Accuracy (Omission error) -66.7%; User's Accuracy (Commision error) - 89.0%	Height accuracy metrics (2019 map): GEDI Collection 1: RMSE = 6.6 m; MAE = 4.45 m; R² = 0.62 ALS: RMSE = 9.07 m; MAE = 6.36 m; R² = 0.61	Accuracy assessed using binary forest/non-forest thresholds (≥3 m, ≥5 m, ≥10 m). Higher uncertainty observed when compared with ALS data. Mean height difference of −3.8 m indicates systematic underestimation of forest height. Underestimation is stronger in short forests (~3 m) and tall forests (>21 m).	•  GEDI data overestimation on slopes: Forest heights are overestimated in temperate and subtropical mountain grasslands (e.g., New Zealand, Lesotho). •  Urban height confounding: Tree heights over cities and suburbs may be mixed with building heights. •  GEDI calibration uncertainties: Errors in geolocation and land surface height estimation can contribute to map inaccuracies. •  Model saturation: The forest height model saturates above 30 m, underrepresenting the tallest trees.
